,label,location,tweet_text
41,,"Chattanooga, TN",@TravisAllen02 They vote against abortion. Gay marriage. Liberals. Not for things. So no surprise really.
42,,earth,wait is gay marriage legal in Singapore?
43,,"Phoenix, AZ",Still can’t believe Taylor Swift legalized gay marriage
44,,Idaho,@RaulLabrador4ID is going to run for governor on the no gay marriage platform. Does any Idaho Republican understand how any of this works?
45,,Republic of Ireland,"In @SeanMoncrieff Global warming not so bad for everyone in Greenland, Reversing gay marriage &amp; tea cake controversy in Scotland #ntfm"
46,,I'm around...,Obama had the chance to right the wrongs in the United States for black folks and he ummmm played basketball and signed off on gay marriage
47,,West Baltimore & East Africa,so when do we start hounding john perkins &amp; noel castellanos about gay marriage?
48,,,"@karenannmilo @Alt_FedEmployee If ""gay marriage"" has to be honored in all states, so does my Right to bear arms."
49,,,You Gay Marriage Would Be ‘Politically Correct’ Enough To Learn That
50,,The anglosphere ,@DLoesch To visit the first president who openly supports gay marriage. Leftists somehow operate without a brain. Zombies.
51,,,"@jimmymalecki @StephenHyland @LyleShelton If you support gay marriage, you’re not Christian. Gay marriage is a perversion of real marriage."
52,,,If you missed out you can go get one if u need more gay marriage cards.
53,,"Washington, DC","@HLS_BayouIrish I never quite get that. Like, wouldn’t you rather combine forces to make abortion and gay marriage illegal"
54,,"Asheville,NC",@PatrickdEstaing @MSNBC @JoeNBC @TheBrodyFile Kinda like Obama changed his stance on gay marriage it was done just for votes too
55,,"VA Beach, VA","See concervatives, legalizing gay marriage  #WasntSoBadAfterAll you dumb asshole’s. The moral fabric of America is still in tact."
56,,,@5mww8 @thehill When did he attack gays? When he was the first President to wave a gay flag? Remember when Obama was against gay marriage?
57,,,"I support gay marriage and I support equality, I don't care who you are or what you believe in, we're all equal."
58,,,"If God didn't believe in gay marriage, then why did He invent gay love?"
59,,Queer Furry Elsmere Mafia,"@cemsolll @AtheistRepublic crime hurts people, gay marriage doesn't. a better analogy would be ""don't like dogs? don't get a dog"""
60,,Uncle Sam’s House,@a_used_car4sale @LexusGuy63 @EricTrump In Scandinavian countries the life expectancy dipped about 20 years after gay marriage was legalized
61,,Quezon City,"mom sent an anti gay marriage promotional ad sa family group chat.

my gay ass is crying inside.
😭😭😭"
62,,At your moms,@JesseineNicole_ Gay marriage is permitted now so just marry me same shit lmaoooo
63,,,@AtheistRepublic Allow gay marriage everywhere
64,,Ireland,"@sanepolitico I'm not gay but when a same sex marriage act comes in, I'm hitting the Kremlin to grab me a husband..."
65,,,"@FoxNews @realDonaldTrump Special LGBT, or gay, Some Time They're pay Money for fake Marriage to getting visa or citizens"
66,,,@ChipSerrelli @Franklin_Graham I support the biblical definition of marriage between a man and woman and can still love gay people.
67,,rural,"@Kyle_Beckley @DavidAFrench The Pope is against, gay marriage, abortion, women priests. Yet the left seem to adore him. Odd."
68,,A caffeine-based life form.,"Adam Rippon knows that Trump supports gay marriage and always has, right?"
69,,Breinigsville Pa,@AIIAmericanGirI @BreitbartNews Why? Trump supports gay marriage and he is competeing in a country that doesn't
70,,"North Carolina, USA","""To me, marriage is really important and what we build families on. That's why gay marriage is really important."" ~ Margaret Cho"
71,,"Hurley, Mississippi","@Karengrisham1 @Franklin_Graham I'm curious, Karen. Can you tell us how a gay marriage affects you?"
72,,"New South Wales, Australia",@RNBreakfast What the hell you grubs refused a plebiscite on gay marriage yet want a dual referendum  anti democracy labor
73,,,Tiffany Trump legalized gay marriage
74,,GLOBAL CiTiZen,Even Satan wasn't #GAY# he approached naked Eve instead of naked Adam #say no to same-sex marriage.
75,,"Fraser, MI",@5mww8 So the first president to ever enter office supporting gay marriage is somehow oppressing the homosexual community?
76,,,"Woo, gay marriage."
77,,"Lisburn, Northern Ireland","David McNarry is so opposed to gay marriage, he's even got it in for the bilinguists"
78,,"Nordjylland, Denmark","@cemsolll @AtheistRepublic That makes no sense? The thing with crime is, that it affects other people. Gay marriage doesn't."
79,,,I believe marriage is between a man and a woman. I am not in favor of gay marriage.
80,,,"The mere fact that one can think of an idea, like arranging a gay marriage for a straight person, does not make the idea any good."
81,,3rd jobs suck,@licoivlis Our marriage isnt valid til they give us gay marriage and i bother u endlessly to marry my de to ur ap
82,,"Westmibster, London",The difficulty with groupthinking art instituions is not enough novels disrupting gay marriage.
83,,"Melbourne, Australia (Boonerwrung Land)","I'm a single gay man.. i don't spend much time thinking about marriage vows.

BUT I WAS REMINDED."
84,,,"@TTruthinator @CassandraRules Weddings aren't gay. 

Marriage equality is legal."
85,,"Austin, TX, USA",@charliekirk11 Don't like gay marriage? Don't get gay married.
86,,New York City,"@DavidAFrench @benshapiro Because 2 out of 3 Catholics in the US support gay marriage (pew, 2017)"
87,,Belfast,@JamieBrysonCPNI So if she’s not gay does that mean she can’t support equal marriage? Idiot
88,,,Does gay marriage open the door to extraterrestrial sex tourism?
89,,"Salem, OH","""I support gay marriage. I believe they have a right to be as miserable as the rest of us.""
~ Kinky Friedman #marriage"
90,,,@JacobFreeman95 @DavidAFrench @benshapiro She was gay long before she got married bud. Catholic Church draws the line at marriage
91,,,@wokestbloke the netherlands recriminalised gay marriage in 2016 and nobody cares
92,,"Harare, Zimbabwe",@T1mbles @mike_tux @dcmadzima @nelsonchamisa @matigary The gay marriage poll concerns me. I expect the zanupf vote to be higher.
93,,Oahu,@thehill Trump is the first president ever to support gay marriage on his election to office.
94,,"Melbourne, Victoria",@Steph_Philbrick yeah I hear Australian society has been torn apart by gay marriage and the HPV vaccine do I understand correctly?
95,,,@jc1ndiana @DavidAFrench The Catholic Church allows gay member but doesn’t believe in gay marriage
96,,United States,@TwOdAySl8 @NBCNews @NBCOUT You can’t believe she didn’t know the Catholic Church’s stance on gay marriage?
97,,Square Enix owns my ass ,"@katers Yknow hwhat, Riku actually holding the key to gay marriage now"
98,,아래를 내려다보면 내가 보여,"""Gay marriage is sort of illegal in South Korea"""
99,,Canton Ohio,@Alyssa_Milano @BetsyDeVosED @realDonaldTrump Leave it to the states. Constituional ban on gay marriage
100,,"Montana, USA","@jcdav @5mww8 @thehill Yrah,Obama was against gay marriage until it wasn't ""cool"" anymore,then changed his stripes pretty quick!"
101,,,@kansascityfish @LunchnotFreeman @cheecheebecker Gay marriage doesn't exist. It is marriage.
102,,,@_katzun_ I think she just described gay and straight marriage in one
103,,,@Awyee707 @phzix abortions will decrease population and so will gay marriage
104,,,@thehill Why Trump has defended gay marriage and right . The principal speaker for his nomination was gay
105,,the void,"yeah, i was alive before gay marriage was legal in the us. what was it like? damn stupid."
106,,in a yellow submarine,"Can we stop calling gay marriage, Gay marriage? Its 2018, babies, its just marriage. Love is l o v e"
107,,,"@merlasam @Franklin_Graham Gay marriage doesn't exist. It is marriage.

God doesn't dictate who gets married in a secular society."
108,,"McNair, Tx",@yo_debbie Well gay marriage is legal now
109,,,PS I don't care that Barnaby was having an affair. I care that he had an affair whilst campaigning against gay marriage to protect marriage
110,,United States,"@thehill In how many counties in the world is gay marriage legal?

You live in one."
111,,"Denver, CO","@kitkitdavis3 -You ought 2 do your homework before you tout Communists propaganda.They can prevent gay marriage,jail those who disagree etc."
112,,"Ringwood, Melbourne","@frednile fred, if you think bermuda showed leadership by repealing gay marriage, why dont you move there"
113,,,@LunchnotFreeman @cheecheebecker Did u agree with the gay marriage ruling by the Court? Wedding cake case?
114,,,you wont believe what these 14 chicago hot dogs had to say about gay marriage EEEE. EEEEEEE.
115,,,"I am a Southern Liberal-Muslim American. I am pro-choice, for gay marriage &amp; believe in equal rights for dreamers. #WEAREAMERICA"
116,,,lmao I keep forgetting gay marriage is legal
117,,"Someplace, United States",@TRUMP_FANS_CLUB Yeah. Gay marriage.
118,,United States,@brandonjohnsmi4 @TylerPreston20 South Africa is the only country that has legalized gay marriage.
119,,"Palo Alto, Santa Barbara",@Franklin_Graham Is gay marriage also illegal in Russia?
120,,,@Suiton00_nsfw U guys can get married too because Gay marriage is now ok it makes being gay a lot easier
121,,"Las Vegas, NV ",@DLoesch And I support gay marriage
122,,"Boston, MA",Lobbying for gay marriage while ignoring homeless trans teenagers is not queer liberation. #xoxoLGBT
123,,"Seoul, Korea","@LATimesWharton They are not gay.. The actor on the right is married even. 
(Gay marriage is sort of illegal in South Korea)"
124,,,My American hero of the day is Gavin Newsom and his advocacy of gay marriage in the United States. We need more diverse American heroes🇺🇸
125,,,@USATODAY You work in a Catholic school. What did you expect? The Catholic church is not a gay marriage supporting institution.
126,,U.S.A.,"@Libertarian181 @mcspocky Gay marriage.. love is beautiful,  it's wonderful when two people are in it and committed to one another."
127,,,@funkutron @SenSanders Additionally the violation of other people's freedom of association is a big  issue involving gay marriage
128,,Mountainside 🏔,"@5mww8 @thehill He’s the only POTUS to ever campaign in favor of gay marriage, but if you see that as “directly attacking”..... 🙄"
129,,,"@FakeAsimov @NBCNews @NBCOUT Gay marriage doesn't exist. It is marriage.

Marriage equality is law."
130,,,"@whodey1976 @NBCNews @NBCOUT Gay marriage doesn't exist. It is marriage.

God doesn't dictate who gets to marry."
131,,United States,there are kids my age and younger winning olympic gold metals and i’m here eating a blizzard and crying over gay marriage proposals
132,,Queensland 🇦🇺🇦🇺🇦🇺,@wolfeh87 Im single now and gay marriage is legal? You know what would be fun?..........😉
133,,"San Francisco, CA","@GavinNewsom As a gay American, I can never thank Gavin enough for his contributions to marriage equality."
134,,"Oakland, CA",@linusalf Legal weed AND gay marriage and the bay is trump land
135,,"Washington, USA","@thehill that awkward moment when he won't visit Trump, who supports gay marriage, but will compete in a country that kills gays."
136,,"Sydney, New South Wales",Remembered when Barnaby said gay marriage would be considered decadent by our Asian trading partners? What a clown.
137,,,"""Marrying Zachary quinto does not count as gay marriage "" crushing all my dreams today ."
138,,,"@io9 ""The proof that you're a colony of America is that your country is taking gay marriage seriously."" - E. Michael Jones"
139,,Los Angeles,I thought gay marriage was legal in Italy ?
140,,West LA / Orange County,"I wish I could marry my pets… the evangelicals told me that when gay marriage was legalized I'd be able to, so what's taking so long?"
141,,Isle of Yap,"@imo_rita Yup, and that's their business, and it is not an argument to deny gay couples marriage."
142,,,@theBobbyMueller @ABC Now do gay marriage
143,,,@Franklin_Graham 80% of American oppose gay marriage!
144,,,@5mww8 @thehill Trump was the 1st president in history to support gay marriage at the time he was elected.
145,,"The Sticks, MO",@mrpsha @60Minutes States don't have a right to trample on the #2A. Btw did you make this argument when it came to gay marriage? #gunsense
146,,Suplex City,@kaptainfyeah @RyanTAnd I can disagree with him on gay marriage and realize he isn’t arguing against people’s dignity
147,,A Galaxy Far Far Away,@thehill Yet he competed in a Country that doesn't allow Gay Marriage. Hypocrite.
148,,Real nigga ville ,Many African community's are against gay marriage... I mean c'mon who would want two deadbeat dads
149,,United States,@larrydraper @thehill In fact Trump was pro gay marriage years before Obama ever was
150,,"Lanham, MD",The awkwardness while eating dinner with my parents and you hear Miami just legalized gay marriage 😴
151,,"Nicky, Natitty",This song is helping gay marriage be legalized. Stan or hate dykes
152,,Ireland,"@JamieBrysonCPNI With that logic, those who support same sex marriage must be gay."
153,,Fermanagh,All Pro-Union tweeters need to blast DUP at @duponline that a climbdown on ILA or gay marriage is unacceptable
154,,US of Freekin A!!,"@Education4Libs Funny, since @realDonaldTrump was in favor of gay marriage when #NOBAMA was still opposed to it!!"
155,,,i cry every time there's a gay marriage viral tweet lmaooo
156,,Leeds,@gaytimesmag and we fought so hard for gay marriage ...for what purpose exactly! We don't deserve it as we don't respect it!!
157,,,@GavinNewsom That was a crime Gavin 14_years ago you should been arrested now gay marriage is the law.
158,,"Lake Ronkonkoma, NY",@FoxNews @RyanGaydos but everyone forgave HRC when she said she was against gay marriage and her mentor was a KKK grad dragon. Ridiculous!
159,,"Princeton, NJ",@redsteeze This is just like how Hillary’s position on gay marriage “evolved” from where it was at until it became socially acceptable.
160,,"Bali, Indonesia",@StefanMolyneux Libertarians have turned out to be just liberals who wanted legal weed and gay marriage.
161,,he/him,gay marriage has been legalized for less than three years and it feels weird to me. like. i feel like its been a decade since 2015
162,,"Cleveland, Ohio",had a buddy in college talk about how HRC or Obama probably isn't actually against gay marriage...
163,,,
164,,"Silver Spring, MD",@JaydotSloane That’s my gay poly marriage larp
165,,New York,@5mww8 @thehill President Trump supported gay marriage before Yobama or crooked Hillary
166,,"Los Angeles, CA","For example: if you don't believe in abortion, don't get an abortion. If you don't believe in gay marriage, don't get gay married."
167,,SChat- supremeleaderak,If women so great how come the percentage of gay marriage is higher than the percentage of lesbian marriage
168,,,"@thehill Of course, because Trump had the nerve to tell his base that he supported gay marriage.  Get over yourself."
169,,"Edinburgh, Scotland","@Sheilam19534814 @Andrew_Adonis SNP championing gay rights, marriage and LGBT issues? What planet are you on?"
170,,"uwu, New California","I don't like those lol, I don't support gay marriage but Liberty so like I do because Constitution."
171,,,@5mww8 @thehill That's a weird thing to say about that first president to take office as pro gay marriage. 🤔
172,,2/6 + jenn ,@heytherelmj Except it’s anti gay marriage
173,,United States,"@lesbiamHamlet @villa72 @5mww8 @thehill ""Attacking""

He clearly let the states decide the issue on gay marriage."
174,,"Green Forest, AR","@T1GERS0N I like Barney Stinson's view. 
""I'm against it!""
""Gay marriage?""
""No! Marriage! *shivers* it's not right"" lol I miss that show"
175,,New York,"It's funny, I'm watching West Wing on Netflix, 20 years and the only issue that has changed: Gay marriage is now legal"
176,,"Wisconsin, USA",@DemocratsLogic South Korea doesnt recognize gay marriage?  what the fuck is wrong with them? I thought South Korea wasn't a communist state
177,,,@NBCNews @NBCOUT It's hilarious that she was surprised about Catholic Schools being against gay marriage.
178,,,@DLoesch Yet he'll compete in South Korea which doesn't recognize gay marriage or let them serve in the military
179,,,@thehill Donald trump is the first president to go into office for gay marriage but ok go ahead and boycott. So inclusive
180,,Solaria,@NBCNews @NBCOUT well of course they did. gay marriage is abomination. you wouldn't want her teaching to children.
181,,Belfast Ireland.,@romeorodrigez @joeman42 Watered down ILA and no gay marriage..
182,,"Minnesota, USA",@jafreder3 @thehill And he is the first President-elect to support gay marriage
183,,"San Diego, CA",I'm glad @ezraklein pushed back against the idea that gay marriage was the success of liberal centrism rather than activism.
184,,Belfast Ireland.,@oharamal Yip Mal I'd say valentine with a watered down ILA and no movement on gay marriage.. And the flock will follow.
185,,"Lebanon, NH","@RivalThoughts This is the same as Obama and Clinton ""not"" supporting gay marriage before it came closer to reality-You are quite ignorant."
186,,"Denton, TX",@SunnyD_25 hey now I know some Camaros that have great opinions on gay marriage YEE YEE 🤘
187,,,"@RobMarchione @Webberbear @BillKristol Abraham Lincoln supported gay marriage?

Are you high?"
188,,"Lebanon, NH","@RivalThoughts @Webberbear @BillKristol This is like saying you didn't support Gay Marriage 20 years ago, it's a deflection, he did."
189,,The Netherlands,@Erika_Saccone Gay cat marriage?
190,,"Florida, USA","@Helovedmefirst That was Old Testament, which Jesus came to change. Please cite Jesus words on gay marriage."
191,,"Florida, USA",@Helovedmefirst I don't think Jesus covered gay marriage.
192,,,"@NuncVideo Yeah, cuz Jesus totally preached against gay marriage &amp; women. Right."
193,,,"Good job on gay marriage, but when will the government finally allow the purchase of human skulls for non-research, non-teaching purposes?"
194,,,Should Gay marriage be legal?
195,,"Hilliard, Ohio",@heierup @NormalPeopleUS @thehill You mean the first president in history who came into office in support of gay marriage?
196,,"Ohio, USA","@thehill Why?

I mean,Trump is the first President to enter the office who agreed with gay marriage."
197,,Guatemala City ↔ New Orleans,"@FredMenachem @Pontifex Making a mistake is one thing. Publicly advocating for and engaging in gay ""marriage,"" without remorse, is another."
198,,Vancouver Island,@megancox I can't wait until he goes in about gay marriage and/or women's issues that he thinks he knows everything about.
199,,egg,Support of Gay Marriage is now legal #Rui #Bot
200,,,"@chuckwoolery Soooo, Whoopi... was Obama a nazi before he ""evolved"" on his stance of gay marriage?"
201,,"Charleston, South Carolina",@thegracereports @Adaripp Also the fact they’re trying to outlaw gay marriage in the courts
202,,"New York, NY",Another listener named Edward says he completely changed his views to support gay marriage after a friend helped change his mind.
203,,"Sydney, New South Wales",kill eve😇....for gay marriage..italian illuminati plot...fake Queen..kjv..charles darwin.
204,,"Lexington, SC",@Slate So Obama and Hillary are also jerks due to their opposition to gay marriage in 2000 as well?
205,,Monday Night Rehabilitation,"@Heysuze56 @thehill AFAIK, Donald Trump is the first president to support gay marriage at the time he took the oath of office."
206,,"Pittsburgh, PA",My sociology prof just mentioned gay marriage and weed in the same sentence....shade?
207,,,@SykesCharlie I don’t recall you ever criticizing the GOP for the Rove strategy in getting gay marriage on the ballot everywhere in 2004.
208,,"Belfast, Northern Ireland",@StephenNolan @NicholaMallon No gay marriage or irish language act here
209,,,@TheCristianoWay Gay marriage is allowed in Saudi?
210,,va.,Gay  marriage  is  a  sin  and  perverse
211,,INSS MacArthur ,"@thehill FYI Trump is the first POTUS to endorse gay marriage when elected. But, you be you."
212,,@giannetipolo’s,"it’s not gay rights. it’s HUMAN RIGHTS.

it’s not gay marriage. it’s MARRIAGE."
213,,"Georgia, USA",@krassenstein her husband was against gay marriage for 7 of 8 years
214,,"Irving, TX",@TheBrandonMorse Wait. Trump is the first POTUS to enter the office openly supporting gay marriage. What *exactly* is he boycotting...
215,,"Lubbock, TX",stated we married by law in gay marriage so we stick w/each other 😂
216,,,@TheBrandonMorse Trump was pro gay marriage long before Obama
217,,,@Ethirajans @Rajan_ptt Is gay marriage legal on India?
218,,regretting my life decisions,11:11 gay marriage to be legalized everywhere
219,,Tuvalu,@johncusack Reaffirm gay marriage? Repeal the Second Amendment?
220,,"Indianapolis, IN",@MySlackerman007 @CBSNews @60Minutes Did you like it when the Feds forced other states to accept gay marriage? Or were you equally upset?
221,,"Indianapolis, IN","@petersongeorged @CBSNews @TomArnold @60Minutes So you oppose the states being forced to recognize gay marriage, right?"
222,,,@thehill The same WH admin that’s the 1st ok with gay marriage coming in to office?
223,,Zimbabwe,"@stunnerzim Haha hanzi at a gay wedding the Marriage officer says I now pronounce you ""Man United"" 😂😂"
224,,ri ♥,"me: mentions lgbt marriage 
kids in my class: you gay or what 
me while thinking abt Megan Fox’s legs: n-no..."
225,,"Montana, USA",@FoxNews Who cares.   Once again let's not forget that Donald Trump is the only President elected that supported gay marriage.
226,,,"@john_mcguirk Soros bucks can run a lot of printing presses.
Probably had plenty of practice with their ""gay marriage"" fiasco."
227,,www.ebay.com/itm/131472176976,"@carlosg66633399 @60Minutes @CBSNews Sooo....you'd be ok with a state refusing to recognize gay marriage, or 1A rights?"
228,,"Illinois, USA","@millerka63 @CBSNews @60Minutes Yep, gay marriage was forced upon all states too. Bet you didn’t argue against that one."
229,,,@davebabler @tchsmorris @Peter30302273 @KyleKulinski She was against gay marriage and want war with Russia not very progressive.
230,,A tax haven near you,"@melindiscott I’m afraid so, there are pockets where it’s not…Monaco doesn’t permit gay marriage despite outside pressure."
231,,"Baltimore, MD",@rlawson330 @ShaneClaiborne No it is not so called gay marriage it is marriage. My marriage certificate is the same as any straight couple.
232,,"Pennsylvania, USA","@Smudgie_the_cat @CBSNews @TomArnold @60Minutes Did the SCOTUS decision on gay marriage kill states laws? 

#gunsense #guncontrol"
233,,"Streatham, London",@KrustyAllslopp Gay marriage? Female PM? I would focus on competence &amp; leadership instead.
234,,,@Dangchick1 @ABC So they hush allegations of child abuse but oppose gay marriage.
235,,Australia,#qanda the very person who bashed gay marriage on traditional marriage but has an affair!It's disgusting what he put LGBTIPQ people through
236,,"Chippendale, Sydney",The sad irony that gay people can't relate re marriage breakdown at work - we've only had a month to break one!! #qanda
237,,"Sydney, Australia",So we have to keep hush about Barnaby’s marriage but gay couples have theirs out on a public non-binding survey #QandA
238,,"Harare, Zimbabwe",Should gay relationships and/or marriage be legalized in terms of our constitution?
239,,"Sydney, Australia",@kirisviel Ooh that might work- but I’m tempted to say THE ONLY AREA IN AUSTRALIA THAT HATES GAY MARRIAGE
240,,Memphis,"""Gay marriage is illegal but knee high converse isn't."""
241,,,@ThomasWictor well we predicted all this when they legalized gay marriage---it is a slippery slope and it's sliding down hill fast
242,,,All sex outside marriage is gay
243,,,@Trickeytrev @Todd_Greenberg @NRL Gave him support for gay marriage. All square.
244,,,"you, neil degrasse tyson: look at it this way, i mean technically our marriage is saved!
me, well-developed: the babadook is gay"
245,,,@clementine_ford Some anti gay marriage slob who can't even respect the sanctity of hetero marriage.  What a catch!  SOOOO jealous!
246,,,this lecturer just said that the legalisation of gay marriage was due to madonna and britney making out onstage sksjdjdndjf
247,,,@angryak83 @Annie4nwo @MaximeBernier AK worries about pot and gay marriage while JT destroys the country. Like fiddling while Rome burns.
248,,"Winnsboro, SC",@faretherecity extremely!!! just. casual mentioning of people being bi or gay??? no shaming people for sex or kids outside of marriage????
249,,,@John_Abarr we will ban gay marriage
250,,,@bsheehan118 @DavidENorman @ABC Gay marriage doesn't exist. It is marriage.
251,,,@PaulObrienUSA Do you disagree with gay marriage?
252,,,@ElGauchoGringo @ABC They want to overturn gay marriage.
253,,,@ABC You would’ve though a teacher was smart enough to know Catholics don’t agree with gay marriage.  Guess not
254,,2008-2016,"Lying Cruz put out a statement, “Obama &amp; Rubio are w/Trump on gay marriage."" Cruz is the worst liar, crazy or very dishonest. Perhaps all 3?"
255,,,"@RodStryker @MightyCassandra Murdering babies, gay marriage, &amp; boys &amp; girls using the same bathroom. What a group those liberals.✝️🇺🇸"
256,,England,imagine bein catholic where the highest up people are rapists and pedophiles but gay marriage is forbidden
257,,"Los Angeles, CA","@cschleichsrun Wow, so I had it backward? Brother/sister ice dancing paved the way for gay marriage?? Thank you Chris!"
258,,"Tennessee, USA","@WSJ Wait a fucking second here, he's the FIRST openly gay US male figure skater? So gay marriage was made legal before this? Wow."
259,,"Los Angeles, CA","If we allow gay marriage, what's next, brother/sister ice dancing??"
260,,"Antioch, Syria","@HeywoodJp Don't forget the push for polyamory, fornication and monogam-ish gay marriage."
261,,,Why does Mexico need gay marriage? We already have a gay Mexico-- Spain.
262,,Australia,Barnaby says NO to Gay Marriage but YES to Stray Marriage 😀
263,,"Boulder, CO",@Harry1T6 @FrankelJeremy Yeah Mike Pence is against gay marriage. And so clearly worse.
264,,"San Diego, CA",Lili just going with it after I break a silence with “what do you associate with grape juice?” is gay marriage
265,,Somewhere in the solar system,I hope he realizes he voted on gay marriage 🤨
266,,,"@WSJ The Clintons were AGAINST gay marriage. And so was Obama who ""EVOLVED"" for some mysterious reason (hint: politics)."
267,,Puerto Rico,"gay culture is hating phi phi o’hara but still crying at her marriage proposal video because, goddamn it, we’re happy for a bitch"
268,,"New York, USA",@Freethinkerskno Are you an atheist? pro LBGTQ? gay marriage?
269,,,@ALIPAC I stand corrected on this one. A majority of Latino voters now support gay marriage. That was not the case in 2006 - nice progress.
270,,Jabroni Town USA,"Why do y'all care about gay marriage being a sin,  if when we go to heaven all our sins are forgiven? Let people live happily."
271,,,@ALIPAC I stand corrected on this one. A majority of Latinos support gay marriage. That was not the case in 2006 - nice progress.
272,,Michigan,I never supported gay marriage or transgenderism but I have close friends who are part of those groups so I have great respect for them
273,,"New Mexico, Colorado, Arizona ",@jKorponay @60Minutes That damn gay marriage sure opened some doors didn't it? #2a
274,,KY,@joelpollak That should be given back to the state to vote on. We voted twice and said no to gay marriage TWICE.
275,,"Superior, WI",@MuddPuttle @downeastsaint no more than I would think that a muslim bakery should have gay marriage wedding cakes....
276,,"Boston, MA",@charliekirk11 Glad to know you support gay marriage.
277,,"Oklahoma, USA",If you believe gay people ruin marriage but cheat on your s/o then maybe you need to rethink your morals.
278,,"Manchester, England",@DiamondandSilk Being against homosexuals &amp; gay marriage are separate issues.. plank
